 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : RISC_V
Version: O-2018.06-SP4
Date   : Fri Feb  4 22:03:23 2022
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
RISC_V                 5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
RISC_V_add_instruction_memory[2]
                               9.296    0.255    0.3561      2.0025  
Adder_PIPE_III[29]             1.255    0.209    0.0573      0.0435  
Adder_PIPE_III[30]             1.255    0.209    0.0573      0.0435  
Adder_PIPE_III[26]             1.255    0.209    0.0571      0.0433  
Adder_PIPE_III[22]             1.255    0.209    0.0570      0.0433  
Adder_PIPE_III[23]             1.255    0.208    0.0570      0.0433  
Adder_PIPE_III[21]             1.255    0.208    0.0570      0.0432  
Adder_PIPE_III[27]             1.255    0.209    0.0569      0.0432  
Adder_PIPE_III[28]             1.255    0.209    0.0569      0.0432  
Adder_PIPE_III[25]             1.255    0.209    0.0566      0.0430  
PIPE_II_Immediate[19]          1.255    0.225    0.0563      0.0427  
Adder_PIPE_III[1]              1.255    0.208    0.0559      0.0424  
PIPE_II_Immediate[31]          1.255    0.210    0.0559      0.0424  
Adder_PIPE_III[31]             1.255    0.209    0.0558      0.0423  
PIPE_I_current_PC[6]           4.697    0.077    0.0148      0.0422  
PIPE_IV_next_PC[6]             5.951    0.062    0.0116      0.0419  
RD_PIPE_IV[4]                  1.255    0.192    0.0540      0.0410  
RD_PIPE_IV[2]                  1.255    0.193    0.0534      0.0405  
RD_PIPE_IV[3]                  1.255    0.202    0.0527      0.0400  
PIPE_II_current_PC[5]          1.857    0.134    0.0339      0.0381  
PIPE_III_RegWrite              5.334    0.017    0.0118      0.0381  
IF_next_PC_PIPE_I[6]           3.280    0.094    0.0177      0.0351  
PIPE_II_ALUOp[1]               8.574    0.010    0.0066      0.0343  
PIPE_II_ALUOp[0]               8.269    0.007    0.0066      0.0331  
RISC_V_add_instruction_memory[7]
                              10.720    0.025    0.0049      0.0319  
PIPE_I_next_PC[5]              1.255    0.162    0.0407      0.0309  
ALUResult_PIPE_IV[20]         10.574    0.007    0.0047      0.0298  
ALUResult_PIPE_IV[12]         10.573    0.007    0.0046      0.0295  
ALUResult_PIPE_IV[22]         10.574    0.007    0.0046      0.0294  
Hazard_Control_PC_ID_IF       18.987    0.997    0.0025      0.0288  
ALUResult_PIPE_IV[29]          9.150    0.007    0.0052      0.0287  
PIPE_II_next_PC[5]             1.255    0.147    0.0377      0.0286  
ALUResult_PIPE_IV[18]          9.150    0.007    0.0049      0.0274  
ALUResult_PIPE_IV[13]          9.150    0.008    0.0049      0.0271  
ALUResult_PIPE_IV[16]          9.150    0.008    0.0049      0.0271  
PIPE_III_next_PC[5]            1.255    0.133    0.0338      0.0257  
ALUResult_PIPE_IV[15]          9.150    0.007    0.0046      0.0255  
ALUResult_PIPE_IV[26]          9.150    0.007    0.0046      0.0254  
ALUResult_PIPE_IV[17]          9.189    0.007    0.0046      0.0254  
ALUResult_PIPE_IV[27]          9.150    0.007    0.0046      0.0253  
ALUResult_PIPE_IV[19]          9.150    0.007    0.0045      0.0248  
ALUResult_PIPE_IV[25]          9.150    0.007    0.0045      0.0248  
ALUResult_PIPE_IV[24]          9.150    0.007    0.0044      0.0244  
ALUResult_PIPE_IV[28]          9.150    0.007    0.0044      0.0244  
ALUResult_PIPE_IV[30]          9.150    0.007    0.0044      0.0244  
ALUResult_PIPE_IV[21]          9.150    0.007    0.0044      0.0242  
ALUResult_PIPE_IV[31]          9.150    0.007    0.0043      0.0240  
ALUResult_PIPE_IV[14]          9.150    0.007    0.0043      0.0235  
ALUResult_PIPE_IV[2]           9.150    0.005    0.0041      0.0227  
ALUResult_PIPE_IV[23]          9.150    0.007    0.0041      0.0225  
WB_WriteData[29]               7.828    0.006    0.0044      0.0208  
ALUResult_PIPE_IV[3]           9.150    0.005    0.0037      0.0203  
WB_WriteData[13]               7.828    0.006    0.0042      0.0200  
WB_WriteData[18]               7.828    0.006    0.0041      0.0196  
WB_WriteData[17]               7.828    0.005    0.0041      0.0194  
WB_WriteData[12]               7.828    0.006    0.0041      0.0192  
WB_WriteData[2]                7.828    0.005    0.0040      0.0190  
WB_WriteData[15]               7.828    0.006    0.0040      0.0190  
WB_WriteData[16]               7.830    0.006    0.0040      0.0188  
ALUResult_PIPE_IV[4]           9.150    0.005    0.0034      0.0188  
WB_WriteData[14]               7.828    0.006    0.0039      0.0186  
WB_WriteData[20]               7.828    0.006    0.0039      0.0186  
WB_WriteData[27]               7.828    0.006    0.0039      0.0186  
WB_WriteData[25]               7.828    0.006    0.0039      0.0184  
RISC_V_add_instruction_memory[9]
                              10.720    0.014    0.0028      0.0183  
WB_WriteData[26]               7.828    0.005    0.0038      0.0181  
WB_WriteData[28]               7.828    0.005    0.0038      0.0180  
WB_WriteData[19]               7.828    0.006    0.0038      0.0178  
